-6193,0.014,42947.424,s,vis,Peter H,,,"B,0028,B,0028,,"
-6181,0.0075,42951.383,p,vis,Germann R,,"B,0028,B,0028,,",
-6181,0.0095,42951.385,p,vis,Peter H,,,"B,0028,B,0028,,"
-6167,0.0114,42956.386,s,vis,Germann R,,"B,0028,B,0028,,",
-6164,0.011,42957.42,s,vis,Germann R,,"B,0028,B,0028,,",
-6143,0.0054,42964.483,p,vis,Peter H,,,"B,0029,B,0029,,"
-6123,0.0106,42971.384,p,vis,Germann R,,"B,0029,B,0029,,",
-6059,0.0039,42993.444,p,vis,Diethelm Roger,,"B,0029,B,0029,,",
-6051,0.0156,42996.386,s,vis,Peter H,,,"B,0029,B,0029,,"
-6025,0.006,43005.341,s,vis,Locher Kurt,,"B,0029,B,0029,,",
-5993,0.0007,43016.369,s,vis,Germann R,,"B,0029,B,0029,,",
-5993,0.0117,43016.38,s,vis,Diethelm Roger,,"B,0029,B,0029,,",
-5993,0.0117,43016.38,s,vis,Peter H,,,"B,0029,B,0029,,"
-5935,0.0157,43036.382,s,vis,Peter H,,,"B,0030,B,0030,,"
-5906,0.0098,43046.375,s,vis,Peter H,,,"B,0030,B,0030,,"
-5871,0.0111,43058.272,p,vis,Locher Kurt,,"B,0030,B,0030,,",
-5784,0.0112,43088.269,p,vis,Peter H,,,"B,0031,B,0031,,"
-5516,0.013,43180.675,p,vis,Locher Kurt,,"B,0032,B,0032,,",
-5224,0.0148,43281.356,p,vis,Germann R,,"B,0033,B,0033,,",
-5178,0.0124,43297.386,s,vis,Locher Kurt,,"B,0033,B,0033,,",
-5088,0.0042,43328.409,s,vis,Locher Kurt,,"B,0034,B,0034,,",
-5033,0.0186,43347.387,s,vis,Germann R,,"B,0034,B,0034,,",
-4963,0.0142,43371.346,p,vis,Germann R,,"B,0034,B,0034,,",
-4778,0.0177,43435.308,s,vis,Peter H,,,"B,0035,B,0035,,"
-4726,0.0096,43453.229,s,vis,Locher Kurt,,"B,0035,B,0035,,",
-4466,0.0137,43542.707,p,vis,Locher Kurt,,"B,0036,B,0036,,",
-4209,0.0163,43631.493,s,vis,Peter H,,,"B,0037,B,0037,,"
-4136,0.0105,43656.485,p,vis,Peter H,,,"B,0037,B,0037,,"
-4131,0.0035,43658.374,s,vis,Germann R,,"B,0037,B,0037,,",
-4116,0.0016,43663.372,p,vis,Locher Kurt,,"B,0037,B,0037,,",
-4116,0.0116,43663.382,p,vis,Germann R,,"B,0037,B,0037,,",
-4093,0.0154,43671.488,s,vis,Peter H,,,"B,0037,B,0037,,"
-4012,0.0063,43699.407,s,vis,Peter H,,,"B,0038,B,0038,,"
-4000,0.0138,43703.38,p,vis,Locher Kurt,,"B,0038,B,0038,,",
-3977,0.0106,43711.479,s,vis,Peter H,,,"B,0038,B,0038,,"
-3968,0.0055,43714.405,p,vis,Germann R,,"B,0038,B,0038,,",
-3942,0.0249,43723.389,p,vis,Germann R,,"B,0038,B,0038,,",
-3884,0.01,43743.372,p,vis,Germann R,,"B,0038,B,0038,,",
-3829,0.0194,43762.345,p,vis,Germann R,,"B,0039,B,0039,,",
-3823,0.0117,43764.406,p,vis,Peter H,,,"B,0039,B,0039,,"
-3274,0.012,43953.697,p,vis,Locher Kurt,,"B,0042,B,0042,,",
-3222,0.0099,43971.624,p,vis,Locher Kurt,,"B,0043,B,0043,,",
-3089,0.0086,44017.48,p,vis,Locher Kurt,,"B,0043,B,0043,,",
-3069,0.0047,44024.372,p,vis,Germann R,,"B,0043,B,0043,,",
-3066,0.0114,44025.413,p,vis,Peter H,,,"B,0043,B,0043,,"
-3005,0.0111,44046.445,p,vis,Germann R,,"B,0044,B,0044,,",
-3005,0.0211,44046.455,p,vis,Peter H,,,"B,0044,B,0044,,"
-2936,0.0044,44070.401,s,vis,Peter H,,,"B,0044,B,0044,,"
-2935,0.0116,44070.581,p,vis,Locher Kurt,,"B,0044,B,0044,,",
-2910,0.0078,44079.369,s,vis,Germann R,,"B,0044,B,0044,,",
-2808,0.0041,44114.362,p,vis,Germann R,,"B,0044,B,0044,,",
-2782,0.0055,44123.328,p,vis,Peter H,,,"B,0045,B,0045,,"
-2779,0.0091,44124.366,p,vis,Germann R,,"B,0045,B,0045,,",
-2765,0.0051,44129.361,s,vis,Germann R,,"B,0045,B,0045,,",
-2753,0.0076,44133.329,p,vis,Germann R,,"B,0045,B,0045,,",
-2684,0.0139,44157.298,s,vis,Germann R,,"B,0045,B,0045,,",
-2332,0.0072,44278.658,s,vis,Locher Kurt,,"B,0046,B,0046,,",
-2271,0.004,44299.687,s,vis,Locher Kurt,,"B,0046,B,0046,,",
-2060,0.0139,44372.448,s,vis,Peter H,,,"B,0048,B,0048,,"
-2039,0.0083,44379.511,p,vis,Locher Kurt,,"B,0048,B,0048,,",
-1973,0.009,44402.44,s,vis,Germann R,,"B,0048,B,0048,,",
-1886,0.0021,44432.43,s,vis,Peter H,,,"B,0049,B,0049,,"
-1877,0.009,44435.54,s,vis,Locher Kurt,,"B,0049,B,0049,,",
-1859,0.0078,44441.573,p,vis,Locher Kurt,,"B,0049,B,0049,,",
-1857,0.0162,44442.443,s,vis,Peter H,,,"B,0049,B,0049,,"
-1848,0.0131,44445.371,p,vis,Germann R,,"B,0049,B,0049,,",
-1807,-0.0094,44459.485,p,vis,Barski L,,",,D,Lich,MVS 9.18,",
-1807,0.0056,44459.5,p,vis,Chyzni K,,",,D,Lich,MVS 9.18,",
-1807,0.0096,44459.504,p,vis,Trabacz A,,",,D,Lich,MVS 9.18,",
-1807,0.0146,44459.509,p,vis,Lis D,,,",,D,Lich,MVS 9.18,"
-1787,0.0008,44466.391,p,vis,Germann R,,"B,0049,B,0049,,",
-1776,0.0111,44470.366,s,vis,Germann R,,"B,0049,B,0049,,",
-1593,0.0142,44533.294,p,vis,Peter H,,,"B,0051,B,0051,,"
-1088,0.0214,44707.593,s,vis,Germann R,,"B,0054,D,Lich,,",
-1076,0.0049,44711.542,p,vis,Locher Kurt,,"B,0054,B,0054,,",
-987,0.0124,44742.408,s,vis,Germann R,,"B,0056,B,0056,,",
-943,0.0136,44757.408,p,vis,Peter H,,,"B,0055,B,0055,,"
-943,0.0216,44757.416,p,vis,Germann R,,"B,0054,B,0054,,",
-940,0.0112,44758.44,p,vis,Carbol K,,"C,0026,C,0026,,",
-879,0.0059,44779.467,p,vis,Elias D,,,"B,0056,B,0056,,"
-868,0.0007,44783.4265,s,pe,Rovithis P,,"I,2828,I,2828,,",
-865,0.0021,44784.4623,s,pe,Rovithis P,,"I,2317,I,2828,,",
-862,0.0057,44785.3283,p,pe,Rovithis P,,"I,2317,I,2828,,",
-862,0.0012,44785.4958,s,pe,Rovithis P,,"I,2317,I,2828,,",
-859,0.0054,44786.3623,p,pe,Rovithis P,,"I,2317,I,2828,,",
-856,0.0297,44787.593,s,vis,Germann R,,"B,0054,B,0054,,",
-839,0.0122,44793.437,s,vis,Peter H,,,"B,0056,B,0056,,"
-784,0.0227,44812.411,s,vis,Peter H,,,"B,0056,B,0056,,"
-772,0.0112,44816.365,p,vis,Germann R,,"B,0056,B,0056,,",
-633,0.0017,44864.2816,p,pe,Rovithis P,,"I,2317,I,2828,,",
-630,0.0128,44865.327,p,vis,Peter H,,,"B,0056,B,0056,,"
-561,0.0221,44889.299,s,vis,Peter H,,,"B,0057,B,0057,,"
