26060,-0.003,55482.3561,p,R,Parimucha Stefan,"I,5980,,,,lens+StarLig",,
26072,-0.0098,55485.5743,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
26097,-0.0158,55492.5787,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
26161,-0.0113,55510.53,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
27112,-0.0049,55777.3539,p,V,Parimucha S,,"I,6044,,,,K1-M",
27316,-0.0073,55834.4168,s,I,Smelcer L.,,"C,0038,E,0160,,28cm+G2",
27316,-0.0067,55834.4174,s,R,Smelcer L.,,"C,0038,E,0160,,28cm+G2",
27316,-0.0066,55834.4175,s,V,Smelcer L.,,"C,0038,E,0160,,28cm+G2",
27331,-0.0072,55838.6232,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
27356,-0.0067,55845.6341,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
27370,-0.0046,55849.7021,p,ccd,Diethelm Roger,,"I,6011,,,,Astrokolchoz",
27374,-0.0074,55850.6809,s,ccd,Diethelm Roger,,"I,6011,,,,Astrokolchoz",
27395,-0.0221,55856.555,s,vis,Stephan Chris,,"J,0053,,,,",
28411,-0.006,56141.4758,s,V,Raetz M,,,"D,0232,I,6084,,G2-1600"
28477,-0.0051,56160.1243,p,Rc,Shiokawa Kazuhik,"J,0055,,,,35SC+ST-9E",,
28478,-0.0061,56160.2637,s,Rc,Shiokawa Kazuhik,"J,0055,,,,35SC+ST-9E",,
