16360,-0.0065,49841.552,s,vis,Dedoch A,,"C,0032,C,0032,,",
16368,-0.0131,49844.2535,s,vis,Tvardowskyi,,",,,,priv.comm,",
16413,-0.013,49859.3164,p,vis,Tvardowskyi,,",,,,priv.comm,",
16499,-0.005,49888.436,p,vis,Peter H,,,"B,0109,B,0109,,"
17281,-0.0153,50153.3082,s,vis,Tvardowskyi,,",,,,priv.comm,",
17372,-0.0157,50184.1119,s,vis,Tvardowskyi,,",,,,priv.comm,",
17385,-0.0062,50188.352,p,vis,Peter H,,,"B,0112,B,0112,,"
17450,-0.0011,50210.36,p,vis,Peter H,,,"B,0112,B,0112,,"
18274,-0.0113,50489.2796,p,vis,Tvardowskyi,,",,,,priv.comm,",
18357,-0.005,50517.382,p,vis,Peter H,,,"B,0114,B,0114,,"
18377,-0.0068,50524.3203,s,vis,Tvardowskyi,,",,,,priv.comm,",
18377,-0.0068,50524.3203,s,vis,Tvardowskyi,,",,,,priv.comm,",
18475,-0.0008,50557.33,p,vis,Peter H,,,"B,0115,B,0115,,"
18522,-0.0049,50573.2358,p,vis,Tvardowskyi,,",,,,priv.comm,",
18537,-0.0103,50578.478,s,vis,Dedoch A,,"B,0115,B,0115,,",
18540,-0.0024,50579.3314,p,vis,Tvardowskyi,,",,,,priv.comm,",
19458,-0.0072,50890.076,p,vis,Maehara Hiroyuki,"J,0033,,,,20L",,
19458,-0.0072,50890.076,p,vis,Maehara Hiroyuki,"J,0047,,,,",,
19553,-0.0108,50922.2306,p,vis,Tvardowskyi,,",,,,priv.comm,",
19567,-0.0066,50927.1439,s,vis,Tvardowskyi,,",,,,priv.comm,",
19677,-0.012,50964.2042,p,vis,Tvardowskyi,,",,,,priv.comm,",
20259,-0.0057,51161.3916,s,vis,Tvardowskyi,,",,,,priv.comm,",
20542,-0.0085,51257.1862,s,vis,Tvardowskyi,,",,,,priv.comm,",
20557,-0.0125,51262.2599,s,vis,Tvardowskyi,,",,,,priv.comm,",
