-1647,-0.0466,45556.458,p,vis,Svoboda P Pr,,"C,0026,C,0026,,",
-1647,-0.0466,45556.458,p,vis,Svoboda V,,"C,0026,C,0026,,",
-1647,-0.0456,45556.459,p,vis,Sula R,,,"C,0026,C,0026,,"
-1647,-0.0446,45556.46,p,vis,Fiser P,,,"C,0026,C,0026,,"
-1647,-0.0426,45556.462,p,vis,Graf T,,,"C,0026,C,0026,,"
-1647,-0.0416,45556.463,p,vis,Kobzova E,,"C,0026,C,0026,,",
-1647,-0.0386,45556.466,p,vis,Lutcha P,,"C,0026,C,0026,,",
-1647,-0.0306,45556.474,p,vis,Tesar J,,,"C,   0,C,   0,,"
-1432,-0.0535,45889.456,p,vis,Peter H,,,"B,0073,B,0073,,"
-1432,-0.0495,45889.46,p,vis,Schmidt J,,"D,0039,D,0039,,",
-1421,-0.0449,45906.502,p,vis,Primke R,,"D,0043,D,Lich,,",
-1403,-0.0574,45934.369,p,vis,Peter H,,,"B,0073,B,0073,,"
-1403,-0.0504,45934.376,p,vis,Lenz M,,,"C,0027,C,0027,,"
-1403,-0.0474,45934.379,p,vis,Pleskac R,,"C,0027,C,0027,,",
-1197,-0.0566,46253.435,p,vis,Berka M,,,"C,0027,C,0027,,"
-1197,-0.0556,46253.436,p,vis,Cervinka T,,"C,0027,C,0027,,",
-1186,-0.063,46270.466,p,vis,Kucera Petr ZD,,"C,0027,C,0027,,",
-1186,-0.057,46270.472,p,vis,Zejda Miloslav,,"C,0027,C,0027,,",
-1186,-0.055,46270.474,p,vis,Krivanek P,,"C,0027,C,0027,,",
-1128,-0.0669,46360.296,p,vis,Groegel O,,"D,0043,D,Lich,,",
-922,-0.0531,46679.375,p,vis,Troubil Petr,,"C,0028,C,0028,,",
-922,-0.0531,46679.375,p,vis,Tomcala J,,"C,0028,C,0028,,",
-922,-0.0321,46679.396,p,vis,Polloczek R,,"C,0028,C,0028,,",
-738,-0.0533,46964.365,p,vis,Isles J E,,"R,0013,R,0013,VSSC 70.18,",
-727,-0.0528,46981.403,p,vis,Mavrofridis G,,"B,0084,B,0084,,",
-716,-0.0642,46998.429,p,vis,Cobirka V,,"C,0030,C,0030,,",
-716,-0.0542,46998.439,p,vis,Babic V,,,"C,0030,C,0030,,"
-716,-0.0502,46998.443,p,vis,Isles J E,,"R,0013,R,0013,VSSC 70.18,",
-716,-0.0432,46998.45,p,vis,Cervenak S,,"C,0030,C,0030,,",
-716,-0.0372,46998.456,p,vis,Mihok L,,,"C,   0,C,   0,,"
