13319,-0.1905,44750.4902,p,B,Mahdy H A,,"I,2154,,,,",
13321,-0.1888,44751.5162,s,pg,Mahdy H A,,"I,2154,I,2836,,",
13338,-0.181,44758.488,s,vis,Carbol K,,"C,0026,C,0026,,",
13377,-0.1963,44774.449,s,vis,Pampaloni Carlo,,"G,,G,,,",
13393,-0.1826,44780.8121,p,pg,Scarfe C D,,"I,2545,I,2836,,",
13395,-0.1833,44781.8357,s,pg,Forbes D W,,"I,2545,I,2836,,",
13411,-0.1823,44788.391,s,vis,Pampaloni Carlo,,"G,,G,,,",
13428,-0.1912,44795.3461,s,BV,Niarchos P,,"I,2451,,,,",
13431,-0.1915,44796.3698,p,BV,Niarchos P,,"I,2451,,,,",
13433,-0.191,44797.3946,s,BV,Niarchos P,,"I,2451,,,,",
13436,-0.1904,44798.4191,p,BV,Niarchos P,,"I,2451,,,,",
13438,-0.1904,44799.4434,s,BV,Niarchos P,,"I,2451,,,,",
13444,-0.1833,44801.7034,p,pe,Skillman D R,,",,D,Lich,AVSJ 11.60,",
13475,-0.1798,44814.406,p,vis,Pampaloni Carlo,,"G,,G,,,",
13477,-0.1871,44815.423,s,vis,Pampaloni Carlo,,"G,,G,,,",
13477,-0.1842,44815.4259,s,vis,Diethelm Roger,,"B,0056,B,0056,,",
13480,-0.1844,44816.4496,p,vis,Diethelm Roger,,"B,0056,B,0056,,",
13485,-0.1893,44818.493,p,vis,Pampaloni Carlo,,"G,,G,,,",
13497,-0.2021,44823.396,p,vis,Pampaloni Carlo,,"G,,G,,,",
13501,-0.1906,44825.251,s,V,Mahdy H A,,"I,2154,I,2836,,",
13501,-0.1904,44825.2512,s,B,Mahdy H A,,"I,2154,,,,",
13504,-0.1917,44826.2739,p,V,Mahdy H A,,"I,2154,I,2836,,",
